,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
2042,14/15,Boubacar Dialiba,46286,25,Senegal,KV Mechelen,354,Cracovia,5689,Polen,0.0,1.Liga
2043,14/15,Mads Junker,22877,33,Dänemark,KV Mechelen,354,Delhi Dynamos FC,45080,Indien,0.0,1.Liga
2044,14/15,Mads Junker,22877,33,Dänemark,KV Mechelen,354,Delhi Dynamos FC,45080,Indien,0.0,1.Liga
2045,14/15,Alessandro Cordaro,12908,28,Belgien,KV Mechelen,354,SV Zulte Waregem,3508,Belgien,0.0,1.Liga
2046,14/15,Tome Pačovski,24233,32,Nordmazedonien,KV Mechelen,354,Vardar Skopje,77,Nordmazedonien,0.0,1.Liga
2047,14/15,Kenny Van Hoevelen,20362,31,Belgien,KV Mechelen,354,Oud-Heverlee Leuven,2727,Belgien,0.0,2.Liga
2048,14/15,Vincent Provoost,28461,30,Belgien,Royal Mouscron-Péruwelz,29228,KSV Roeselare (- 2020),2977,Belgien,0.0,2.Liga
2049,14/15,Seïd Khiter,27006,29,Frankreich,Royal Mouscron-Péruwelz,29228,Royal Antwerpen FC,1096,Belgien,0.0,2.Liga
2050,14/15,Omar Benzerga,56771,24,Algerien,Royal Mouscron-Péruwelz,29228,JS Saoura,37160,Algerien,0.0,1.Liga
2051,14/15,Jérémy Huyghebaert,55616,25,Belgien,Royal Mouscron-Péruwelz,29228,White Star Brüssel (- 2017),6342,Belgien,0.0,2.Liga
2052,14/15,Anthony Bova,126739,24,Frankreich,Royal Mouscron-Péruwelz,29228,RAEC Mons (- 2015),1411,Belgien,0.0,2.Liga
2053,14/15,Yohan Brouckaert,62705,26,Belgien,Royal Mouscron-Péruwelz,29228,Oud-Heverlee Leuven,2727,Belgien,0.0,2.Liga
2054,14/15,Baptiste Salembier,325505,20,Frankreich,Royal Mouscron-Péruwelz,29228,RFC Tournai,3751,Belgien,0.0,
2055,14/15,Jerry Asamoah,466200,20,Belgien,KV Oostende,2861,RRC Wetteren-Kwatrecht,49408,Belgien,0.0,
2056,14/15,Wouter Moreels,149618,29,Belgien,KV Oostende,2861,FC Pepingen,44367,Belgien,0.0,
2057,14/15,Gianny Vanhaecke,197739,21,Belgien,KV Oostende,2861,SW Harelbeke,10370,Belgien,0.0,
2058,14/15,Nicaise Kudimbana,43478,27,DR Kongo,KV Oostende,2861,RSC Anderlecht,58,Belgien,0.0,1.Liga
