,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
648,09/10,Scott Sutter,34520,23,Schweiz,Grasshopper Club Zürich,504,BSC Young Boys,452,Schweiz,ablösefrei
649,09/10,Leonel Romero,40136,22,Schweiz,Grasshopper Club Zürich,504,FC Wohlen,1978,Schweiz,ablösefrei
650,09/10,Gabriel Machado,55487,19,Brasilien,Grasshopper Club Zürich,504,Universitatea Cluj,6429,Rumänien,ablösefrei
651,09/10,David Blumer,35839,23,Schweiz,Grasshopper Club Zürich,504,FC Wil 1900,850,Schweiz,?
652,09/10,Massimo Colomba,4892,31,Schweiz,Grasshopper Club Zürich,504,FC Basel 1893,26,Schweiz,?
653,09/10,Brown Ideye,64308,21,Nigeria,Neuchâtel Xamax,625,FC Sochaux-Montbéliard,750,Frankreich,"4,00 Mio. €"
654,09/10,Hussein Abdulghani,78825,32,Saudi-Arabien,Neuchâtel Xamax,625,Al-Nassr FC,18544,Saudi-Arabien,700 Tsd. €
655,09/10,Martin Steuble,79434,21,Philippinen,Neuchâtel Xamax,625,Grasshopper Club Zürich U21,5502,Schweiz,ablösefrei
656,09/10,Niklas Tarvajärvi,17340,26,Finnland,Neuchâtel Xamax,625,Karlsruher SC,48,Deutschland,ablösefrei
657,09/10,João Paulo,22411,28,Brasilien,Neuchâtel Xamax,625,Portimonense SC,7378,Portugal,ablösefrei
658,09/10,Johnny Szlykowicz,43681,28,Frankreich,Neuchâtel Xamax,625,FC Lausanne-Sport,527,Schweiz,ablösefrei
659,09/10,Richmond Rak,33054,24,Schweiz,Neuchâtel Xamax,625,FC Le Mont LS,12424,Schweiz,ablösefrei
660,09/10,Tariq Chihab,4937,33,Marokko,Neuchâtel Xamax,625,FC Sion,321,Schweiz,ablösefrei
661,09/10,Mickael Nicoise,33900,24,Guadeloupe,Neuchâtel Xamax,625,Ethnikos Achnas,4590,Zypern,ablösefrei
662,09/10,Iván Furios,79395,30,Argentinien,Neuchâtel Xamax,625,Instituto AC Córdoba,1829,Argentinien,ablösefrei
663,09/10,Maxime Vuille,74798,22,Schweiz,Neuchâtel Xamax,625,FC Biel-Bienne,2155,Schweiz,?
664,09/10,Pascal Jenny,6651,30,Schweiz,Neuchâtel Xamax,625,SC Düdingen,8278,Schweiz,?
665,09/10,Andrejs Kostjuks,85508,21,Lettland,Neuchâtel Xamax,625,JFK Olimps Riga,9057,Lettland,?
666,09/10,Kwadwo Asamoah,63531,20,Ghana,AC Bellinzona,2047,Udinese Calcio,410,Italien,"1,00 Mio. €"
667,09/10,Dragan Mihajlovic,74741,17,Schweiz,AC Bellinzona,2047,Parma Primavera,5243,Italien,780 Tsd. €
668,09/10,Emiliano Dudar,53887,27,Argentinien,AC Bellinzona,2047,BSC Young Boys,452,Schweiz,200 Tsd. €
669,09/10,Vincent Bernardet,45075,28,Frankreich,AC Bellinzona,2047,Bourges 18 (- 2021),3549,Frankreich,ablösefrei
670,09/10,Emanuele Di Zenzo,4886,29,Schweiz,AC Bellinzona,2047,FC Chiasso,510,Schweiz,ablösefrei
671,09/10,Ibrahim Maaroufi,45279,20,Marokko,AC Bellinzona,2047,MVV Maastricht,384,Niederlande,ablösefrei
672,09/10,Antonio Marchesano,150963,18,Schweiz,AC Bellinzona,2047,GC Biaschesi,4771,Schweiz,ablösefrei
673,09/10,Roland Bättig,4794,29,Schweiz,AC Bellinzona,2047,FC Thun,938,Schweiz,ablösefrei
674,09/10,Lorenzo Bucchi,38118,25,Italien,AC Bellinzona,2047,Grasshopper Club Zürich,504,Schweiz,ablösefrei
675,10/11,Samuel Inkoom,106306,21,Ghana,FC Basel 1893,26,Dnipro Dnipropetrovsk (-2020),339,Ukraine,"5,30 Mio. €"
676,10/11,Serkan Sahin,65284,22,Türkei,FC Basel 1893,26,Konyaspor,2293,Türkei,600 Tsd. €
677,10/11,Federico Almerares,39113,25,Argentinien,FC Basel 1893,26,Neuchâtel Xamax,625,Schweiz,120 Tsd. €
678,10/11,Carlitos,17352,27,Portugal,FC Basel 1893,26,Hannover 96,42,Deutschland,ablösefrei
679,10/11,Sabri Boumelaha,65227,20,Algerien,FC Basel 1893,26,FC Wil 1900,850,Schweiz,ablösefrei
680,10/11,Reto Zanni,2859,30,Schweiz,FC Basel 1893,26,FC Vaduz,163,Schweiz,ablösefrei
681,10/11,Marcos Gelabert,20130,28,Argentinien,FC Basel 1893,26,Neuchâtel Xamax,625,Schweiz,?
682,10/11,Emanuele Di Zenzo,4886,31,Schweiz,AC Bellinzona,2047,GC Biaschesi,4771,Schweiz,ablösefrei
683,10/11,Jocelyn Roux,40809,23,Schweiz,AC Bellinzona,2047,FC Lausanne-Sport,527,Schweiz,ablösefrei
684,10/11,Yacine Hima,18903,26,Algerien,AC Bellinzona,2047,KAS Eupen,1245,Belgien,ablösefrei
685,10/11,Fausto Rossini,16872,32,Italien,AC Bellinzona,2047,Calcio Como,1047,Italien,ablösefrei
686,10/11,Paolo Carbone,33762,28,Italien,AC Bellinzona,2047,Savona FBC,13562,Italien,?
687,10/11,Pajtim Kasami,130108,18,Schweiz,AC Bellinzona,2047,US Palermo,458,Italien,?
